Name,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfHeaders,CheckSum,SizeOfImage,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SuspiciousImportFunctions,SuspiciousNameSection,SectionsLength,SectionMinEntropy,SectionMaxEntropy,SectionMinRawsize,SectionMaxRawsize,SectionMinVirtualsize,SectionMaxVirtualsize,SectionMaxPhysical,SectionMinPhysical,SectionMaxVirtual,SectionMinVirtual,SectionMaxPointerData,SectionMinPointerData,SectionMaxChar,SectionMainChar,DirectoryEntryImport,DirectoryEntryImportSize,DirectoryEntryExport,ImageDirectoryEntryExport,ImageDirectoryEntryImport,ImageDirectoryEntryResource,ImageDirectoryEntryException,ImageDirectoryEntrySecurity
LeagueClient.exe,23117,144,3,0,4,0,65535,18770,21583,0,0,0,64,0,0,0,360,34404,9,1746640240,0,0,240,34,523,14,40,22831104,6085120,0,21926240,4096,5368709120,4096,512,6,1,0,0,6,1,1024,28993386,29368320,2,33120,1048576,4096,1048576,4096,0,16,1,0,9,0.06116285,6.974366,512,22831104,56,22830824,28917248,1024,29364224,4096,28917248,1024,3221225536,1073741888,26081024,620,26078720,26078720,26081024,29052928,28274688,28917760
RemoteAppLifetimeManager.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,264,34404,8,1876306654,0,0,240,34,523,14,38,69632,45056,0,7968,4096,5368709120,4096,4096,10,0,10,0,10,0,4096,158693,118784,2,49504,524288,8192,1048576,4096,0,16,1,0,8,0.015920183,6.020881,4096,65536,176,64156,114688,4096,114688,4096,114688,4096,3221225536,1073741888,91020,520,0,0,91020,110592,102400,0
RemotePosWorker.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,248,34404,7,1869157954,0,0,240,34,523,14,38,12288,24576,0,5344,4096,5368709120,4096,4096,10,0,10,0,10,0,4096,97118,40960,2,49504,524288,8192,1048576,4096,0,16,1,0,7,0.015920183,3.8896294,4096,8192,148,4546,36864,4096,36864,4096,36864,4096,3221225536,1073741888,19072,240,0,0,19072,32768,28672,0
repair-bde.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,7,3825615799,0,0,240,34,523,14,38,32768,118784,0,5232,4096,5368709120,4096,4096,10,0,10,0,10,0,4096,164030,155648,3,49504,524288,8192,1048576,4096,0,16,1,0,7,0.015920183,6.9337525,4096,94208,264,90344,151552,4096,151552,4096,151552,4096,3221225536,1073741888,42516,280,0,0,42516,57344,53248,0
replace.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,7,2106712222,0,0,240,34,523,14,38,16384,24576,0,4864,4096,5368709120,4096,4096,10,0,10,0,10,0,4096,58375,45056,3,49504,524288,8192,1048576,4096,0,16,1,0,7,0.015920183,5.151842,4096,12288,164,10784,40960,4096,40960,4096,40960,4096,3221225536,1073741888,23564,100,0,0,23564,36864,32768,0
reset.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,240,34404,7,3385899975,0,0,240,34,523,14,38,12288,28672,0,4864,4096,5368709120,4096,4096,10,0,10,0,10,0,4096,87923,45056,3,49504,524288,8192,1048576,4096,0,16,1,0,7,0.015920183,5.770332,4096,8192,136,7680,36864,4096,40960,4096,36864,4096,3221225536,1073741888,19796,100,0,0,19796,36864,32768,0
ResetEngine.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,248,34404,7,1605882402,0,0,240,34,523,14,38,8192,20480,0,5056,4096,5368709120,4096,4096,10,0,10,0,10,0,4096,42480,32768,2,49504,524288,8192,1048576,4096,0,16,1,0,7,0.015920183,5.526166,4096,4096,180,4096,28672,4096,28672,4096,28672,4096,3221225536,1073741888,14992,80,0,0,14992,24576,20480,32768
resmon.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,264,34404,7,1513166944,0,0,240,34,523,14,38,12288,122880,0,4864,4096,5368709120,4096,4096,10,0,10,0,10,0,4096,167234,139264,2,49504,524288,8192,1048576,4096,0,16,1,0,7,0.015920183,7.4697576,4096,102400,140,101464,135168,4096,135168,4096,135168,4096,3221225536,1073741888,18888,140,0,0,18888,32768,28672,0
RiotClientServices.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,296,34404,7,2977926480,0,0,240,34,523,14,40,8912384,65136128,0,8373420,4096,5368709120,4096,512,6,0,0,0,6,0,1024,74719274,74293248,2,33120,1048576,4096,1048576,4096,0,16,1,0,7,0.12227588,7.99769,512,62597120,56,62596780,74007040,1024,74248192,4096,74007040,1024,3221225536,1073741888,10902828,300,0,0,10902828,11649024,11247616,74049536
RMActivate.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,256,34404,8,1610628907,0,0,240,34,523,14,38,425984,167936,0,31184,4096,5368709120,4096,4096,10,0,21315,20512,10,0,4096,633221,598016,3,49504,524288,8192,1048576,4096,0,16,1,0,8,0.015920183,6.955617,4096,421888,32,421786,589824,4096,589824,4096,589824,4096,3221225536,1073741888,554000,540,0,0,554000,585728,565248,0
