Name,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfHeaders,CheckSum,SizeOfImage,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SuspiciousImportFunctions,SuspiciousNameSection,SectionsLength,SectionMinEntropy,SectionMaxEntropy,SectionMinRawsize,SectionMaxRawsize,SectionMinVirtualsize,SectionMaxVirtualsize,SectionMaxPhysical,SectionMinPhysical,SectionMaxVirtual,SectionMinVirtual,SectionMaxPointerData,SectionMinPointerData,SectionMaxChar,SectionMainChar,DirectoryEntryImport,DirectoryEntryImportSize,DirectoryEntryExport,ImageDirectoryEntryExport,ImageDirectoryEntryImport,ImageDirectoryEntryResource,ImageDirectoryEntryException,ImageDirectoryEntrySecurity
setup.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,6,2631466910,0,0,240,3106,523,14,12,6144,58880,0,8400,4096,5368709120,4096,512,10,0,10,0,6,0,1024,138375,86016,2,49504,524288,8192,1048576,4096,0,16,1,0,6,0.3014068,5.9614334,512,51712,32,51264,64512,1024,81920,4096,64512,1024,3221225536,1073741888,14660,100,0,0,14660,28672,24576,65024
actionqueueetw.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,168,34404,2,203608414,0,0,240,8226,523,14,12,0,4096,0,0,4096,6442450944,4096,512,10,0,10,0,10,0,512,49557,12288,3,352,262144,4096,1048576,4096,0,16,0,0,2,1.7619046,3.6402323,512,3584,176,3344,1024,512,8192,4096,1024,512,1073741888,1073741888,0,0,0,0,0,8192,0,4608
auditetw.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,168,34404,2,2376289988,0,0,240,8226,523,14,12,0,4096,0,0,4096,6442450944,4096,512,10,0,10,0,10,0,512,78338,12288,3,352,262144,4096,1048576,4096,0,16,0,0,2,1.7763615,3.725737,512,3584,176,3400,1024,512,8192,4096,1024,512,1073741888,1073741888,0,0,0,0,0,8192,0,4608
cmisetupetw.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,168,34404,2,222886154,0,0,240,8226,523,14,12,0,3584,0,0,4096,6442450944,4096,512,10,0,10,0,10,0,512,60943,12288,3,352,262144,4096,1048576,4096,0,16,0,0,2,1.7629228,3.5293498,512,3072,176,2776,1024,512,8192,4096,1024,512,1073741888,1073741888,0,0,0,0,0,8192,0,4096
oobeldretw.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,168,34404,2,1811975674,0,0,240,8226,523,14,12,0,4608,0,0,4096,6442450944,4096,512,10,0,10,0,10,0,512,70030,12288,3,352,262144,4096,1048576,4096,0,16,0,0,2,1.7301227,3.6040053,512,4096,176,3672,1024,512,8192,4096,1024,512,1073741888,1073741888,0,0,0,0,0,8192,0,5120
setupcletw.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,168,34404,2,2392976406,0,0,240,8226,523,14,12,0,6144,0,0,4096,6442450944,4096,512,10,0,10,0,10,0,512,61145,16384,3,352,262144,4096,1048576,4096,0,16,0,0,2,1.7748365,3.593169,512,5632,176,5232,1024,512,8192,4096,1024,512,1073741888,1073741888,0,0,0,0,0,8192,0,6656
setupetw.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,168,34404,2,3836140856,0,0,240,8226,523,14,12,0,10240,0,0,4096,6442450944,4096,512,10,0,10,0,10,0,512,74025,20480,3,352,262144,4096,1048576,4096,0,16,0,0,2,1.7550286,4.009004,512,9728,176,9352,1024,512,8192,4096,1024,512,1073741888,1073741888,0,0,0,0,0,8192,0,10752
setupugcetw.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,168,34404,2,3626799907,0,0,240,8226,523,14,12,0,4096,0,0,4096,6442450944,4096,512,10,0,10,0,10,0,512,44711,12288,3,352,262144,4096,1048576,4096,0,16,0,0,2,1.7716928,3.7060428,512,3584,176,3320,1024,512,8192,4096,1024,512,1073741888,1073741888,0,0,0,0,0,8192,0,4608
sysprepetw.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,168,34404,2,479998191,0,0,240,8226,523,14,12,0,7168,0,0,4096,6442450944,4096,512,10,0,10,0,10,0,512,36079,16384,3,352,262144,4096,1048576,4096,0,16,0,0,2,1.7556169,3.8690166,512,6656,176,6216,1024,512,8192,4096,1024,512,1073741888,1073741888,0,0,0,0,0,8192,0,7680
windeployetw.dll,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,168,34404,2,1947064554,0,0,240,8226,523,14,12,0,3584,0,0,4096,6442450944,4096,512,10,0,10,0,10,0,512,34255,12288,3,352,262144,4096,1048576,4096,0,16,0,0,2,1.7565848,3.672086,512,3072,176,2912,1024,512,8192,4096,1024,512,1073741888,1073741888,0,0,0,0,0,8192,0,4096
