Name,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfHeaders,CheckSum,SizeOfImage,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SuspiciousImportFunctions,SuspiciousNameSection,SectionsLength,SectionMinEntropy,SectionMaxEntropy,SectionMinRawsize,SectionMaxRawsize,SectionMinVirtualsize,SectionMaxVirtualsize,SectionMaxPhysical,SectionMinPhysical,SectionMaxVirtual,SectionMinVirtual,SectionMaxPointerData,SectionMinPointerData,SectionMaxChar,SectionMainChar,DirectoryEntryImport,DirectoryEntryImportSize,DirectoryEntryExport,ImageDirectoryEntryExport,ImageDirectoryEntryImport,ImageDirectoryEntryResource,ImageDirectoryEntryException,ImageDirectoryEntrySecurity
$RD3K0W7.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,272,34404,7,1743825293,0,0,240,34,523,14,36,262656,40010240,0,103780,4096,5368709120,4096,512,6,0,0,0,6,0,1024,40312423,40296448,2,33120,1048576,4096,1048576,4096,0,16,1,0,7,3.0504413,7.9520764,512,39881728,348,39881664,40264192,1024,40292352,4096,40264192,1024,3221225536,1073741888,365304,60,0,0,365304,409600,389120,40267264
WSU_Malware.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,7,1715929088,0,0,240,34,523,14,39,92672,111104,0,70496,4096,5368709120,4096,512,6,0,0,0,6,0,1024,0,225280,2,49504,1572864,4096,1048576,4096,0,16,1,0,7,2.3489447,7.9623356,512,92672,500,92508,141312,1024,163840,4096,141312,1024,3221225536,1073741888,132900,260,0,0,132900,163840,147456,0
apphost.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,232,34404,7,1715929088,0,0,240,34,523,14,39,92672,111104,0,70496,4096,5368709120,4096,512,6,0,0,0,6,0,1024,0,225280,2,49504,1572864,4096,1048576,4096,0,16,1,0,7,2.3489447,7.9623356,512,92672,500,92508,141312,1024,163840,4096,141312,1024,3221225536,1073741888,132900,260,0,0,132900,163840,147456,0
WSU_Malware.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,224,34404,6,1741946880,0,0,240,34,523,14,42,89088,111104,0,70752,4096,5368709120,4096,512,6,0,0,0,6,0,1024,0,217088,2,49504,1572864,4096,1048576,4096,0,16,1,0,6,2.3860276,7.9623346,1024,89088,808,88956,137728,1024,155648,4096,137728,1024,3221225536,1073741888,129012,260,0,0,129012,155648,143360,0
apphost.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,224,34404,6,1741946880,0,0,240,34,523,14,42,89088,111104,0,70752,4096,5368709120,4096,512,6,0,0,0,6,0,1024,0,217088,2,49504,1572864,4096,1048576,4096,0,16,1,0,6,2.3860276,7.9623346,1024,89088,808,88956,137728,1024,155648,4096,137728,1024,3221225536,1073741888,129012,260,0,0,129012,155648,143360,0
java.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,288,34404,7,1743825018,0,0,240,34,523,14,36,460800,1024512,0,263988,4096,5368709120,4096,512,6,0,0,0,6,0,1024,1512895,1503232,3,33120,1048576,4096,1048576,4096,0,16,1,0,7,3.371613,7.078769,512,821760,348,821504,1474560,1024,1499136,4096,1474560,1024,3221225536,1073741888,620528,160,0,0,620528,675840,647168,1478144
javaw.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,280,34404,7,1743825023,0,0,240,34,523,14,36,457728,1024512,0,263980,4096,5368709120,4096,512,6,0,0,0,6,0,1024,1518094,1499136,2,33120,1048576,4096,1048576,4096,0,16,1,0,7,3.3495018,7.078818,512,821760,348,821504,1471488,1024,1495040,4096,1471488,1024,3221225536,1073741888,616328,160,0,0,616328,671744,643072,1475072
javaws.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,280,34404,7,1743825023,0,0,240,34,523,14,36,457728,1024512,0,263980,4096,5368709120,4096,512,6,0,0,0,6,0,1024,1518094,1499136,2,33120,1048576,4096,1048576,4096,0,16,1,0,7,3.3495018,7.078818,512,821760,348,821504,1471488,1024,1495040,4096,1471488,1024,3221225536,1073741888,616328,160,0,0,616328,671744,643072,1475072
java.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,288,34404,7,1743825018,0,0,240,34,523,14,36,460800,1024512,0,263988,4096,5368709120,4096,512,6,0,0,0,6,0,1024,1512895,1503232,3,33120,1048576,4096,1048576,4096,0,16,1,0,7,3.371613,7.078769,512,821760,348,821504,1474560,1024,1499136,4096,1474560,1024,3221225536,1073741888,620528,160,0,0,620528,675840,647168,1478144
javaw.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,280,34404,7,1743825023,0,0,240,34,523,14,36,457728,1024512,0,263980,4096,5368709120,4096,512,6,0,0,0,6,0,1024,1518094,1499136,2,33120,1048576,4096,1048576,4096,0,16,1,0,7,3.3495018,7.078818,512,821760,348,821504,1471488,1024,1495040,4096,1471488,1024,3221225536,1073741888,616328,160,0,0,616328,671744,643072,1475072
