Name,e_magic,e_cblp,e_cp,e_crlc,e_cparhdr,e_minalloc,e_maxalloc,e_ss,e_sp,e_csum,e_ip,e_cs,e_lfarlc,e_ovno,e_oemid,e_oeminfo,e_lfanew,Machine,NumberOfSections,TimeDateStamp,PointerToSymbolTable,NumberOfSymbols,SizeOfOptionalHeader,Characteristics,Magic,MajorLinkerVersion,MinorLinkerVersion,SizeOfCode,SizeOfInitializedData,SizeOfUninitializedData,AddressOfEntryPoint,BaseOfCode,ImageBase,SectionAlignment,FileAlignment,MajorOperatingSystemVersion,MinorOperatingSystemVersion,MajorImageVersion,MinorImageVersion,MajorSubsystemVersion,MinorSubsystemVersion,SizeOfHeaders,CheckSum,SizeOfImage,Subsystem,DllCharacteristics,SizeOfStackReserve,SizeOfStackCommit,SizeOfHeapReserve,SizeOfHeapCommit,LoaderFlags,NumberOfRvaAndSizes,SuspiciousImportFunctions,SuspiciousNameSection,SectionsLength,SectionMinEntropy,SectionMaxEntropy,SectionMinRawsize,SectionMaxRawsize,SectionMinVirtualsize,SectionMaxVirtualsize,SectionMaxPhysical,SectionMinPhysical,SectionMaxVirtual,SectionMinVirtual,SectionMaxPointerData,SectionMinPointerData,SectionMaxChar,SectionMainChar,DirectoryEntryImport,DirectoryEntryImportSize,DirectoryEntryExport,ImageDirectoryEntryExport,ImageDirectoryEntryImport,ImageDirectoryEntryResource,ImageDirectoryEntryException,ImageDirectoryEntrySecurity
BrownDust II.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,272,34404,7,1710293489,0,0,240,34,523,14,28,51712,618496,0,4704,4096,5368709120,4096,512,6,0,0,0,6,0,1024,685634,688128,2,33120,1048576,4096,1048576,4096,0,16,1,0,7,1.1188806,6.4107804,512,565760,148,565656,664576,1024,684032,4096,664576,1024,3221225536,1073741888,93368,60,93232,93232,93368,114688,106496,666624
UnityCrashHandler64.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,272,34404,7,1709901297,0,0,240,34,523,14,28,536576,576512,0,247552,4096,5368709120,4096,512,6,0,0,0,6,0,1024,1159476,1134592,2,33120,1048576,4096,1048576,4096,0,16,1,0,7,1.4484501,6.469092,512,536576,148,536535,1098240,1024,1126400,4096,1098240,1024,3221225536,1073741888,695052,220,0,0,695052,765952,729088,1103872
nikke.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,280,34404,7,1709108403,0,0,240,35,523,14,28,41472,615936,0,682778,4096,5368709120,4096,512,6,0,0,0,6,0,1024,711787,684032,2,33056,1048576,4096,1048576,4096,0,16,1,0,7,1.803246,7.975145,512,565760,148,565661,630784,1024,671744,4096,630784,1024,3758096416,1073741888,682704,40,83200,83200,682704,102400,94208,642128
ACE-Helper.exe,23117,144,3,0,4,0,65535,0,184,0,0,0,64,0,0,0,280,332,8,1640234772,0,0,224,258,267,14,0,1708032,2158592,0,1383945,4096,4194304,4096,512,5,1,0,0,5,1,1024,3880846,3883008,2,33088,1048576,4096,1048576,4096,0,16,1,0,8,0.020393135,7.464007,512,1708032,9,1707543,3708928,1024,3747840,4096,3708928,1024,3221225536,1073741888,2070352,340,0,0,2070352,2256896,0,3841104
chrome_pwa_launcher.exe,23117,120,1,0,4,0,0,0,0,0,0,0,64,0,0,0,120,34404,10,1745268750,0,0,240,34,523,14,0,1177600,580608,0,748256,4096,5368709120,4096,512,10,0,0,0,10,0,1024,1818520,1847296,2,49504,1048576,4096,1048576,4096,0,16,1,0,10,0.16437607,6.560536,512,1177600,500,1177206,1757696,1024,1839104,4096,1757696,1024,3221225536,1073741888,1331292,220,1331200,1331200,1331292,1564672,1495040,1763840
elevated_tracing_service.exe,23117,120,1,0,4,0,0,0,0,0,0,0,64,0,0,0,120,34404,11,1745268750,0,0,240,34,523,14,0,2949120,549888,0,1784704,4096,5368709120,4096,512,10,0,0,0,10,0,1024,3530903,3600384,2,49504,1048576,4096,1048576,4096,0,16,1,0,10,0.12227588,6.4886312,512,2949120,56,2948773,3481600,1024,3575808,4096,3481600,1024,3221225536,1073741888,3227948,300,3227851,3227851,3227948,3575808,3444736,3500544
elevation_service.exe,23117,120,1,0,4,0,0,0,0,0,0,0,64,0,0,0,120,34404,10,1745268750,0,0,240,34,523,14,0,1934336,385024,0,1136368,4096,5368709120,4096,512,10,0,0,0,10,0,1024,2385257,2420736,2,49504,1048576,4096,1048576,4096,0,16,1,0,10,0.21447605,6.5570526,512,1934336,195,1934006,2313728,1024,2412544,4096,2313728,1024,3221225536,1073741888,2132564,320,2132472,2132472,2132564,2404352,2322432,2320896
notification_helper.exe,23117,120,1,0,4,0,0,0,0,0,0,0,64,0,0,0,120,34404,10,1745268750,0,0,240,34,523,14,0,1324544,347136,0,861360,4096,5368709120,4096,512,10,0,0,0,10,0,1024,1695626,1757184,2,49504,1048576,4096,1048576,4096,0,16,1,0,10,0.12227588,6.5481195,512,1324544,56,1324150,1665536,1024,1748992,4096,1665536,1024,3221225536,1073741888,1502716,260,1502624,1502624,1502716,1744896,1675264,1672704
os_update_handler.exe,23117,120,1,0,4,0,0,0,0,0,0,0,64,0,0,0,120,34404,11,1745268750,0,0,240,34,523,14,0,1443328,419328,0,918544,4096,5368709120,4096,512,10,0,0,0,10,0,1024,1896716,1957888,2,49504,1048576,4096,1048576,4096,0,16,1,0,10,0.12227588,6.5526266,512,1443328,56,1442902,1795072,1024,1880064,4096,1795072,1024,3221225536,1073741888,1623628,240,1623536,1623536,1623628,1880064,1798144,1868288
chrmstp.exe,23117,120,1,0,4,0,0,0,0,0,0,0,64,0,0,0,120,34404,13,1745268750,0,0,240,34,523,14,0,4935680,1632768,0,2855536,4096,5368709120,4096,512,10,0,0,0,10,0,1024,6604774,6705152,2,49504,1048576,4096,1048576,4096,0,16,1,0,10,0.12227588,6.6185727,512,4935680,56,4935493,5986816,1024,6103040,4096,5986816,1024,3221225536,1073741888,5675608,380,5675291,5675291,5675608,6111232,5943296,6577152
